ten_truong,ma_nganh,ten_nganh,diem_chuan,he_dao_tao,dia_chi,latitude,longitude,chat_luong,nhom_xep_hang,khu_vuc,linh_vuc,hoc_phi,canh_tranh,co_hoi_viec_lam,hoc_bong,chuong_trinh_lien_ket
Học viện Công nghệ BCVT,MA0480,An toàn thông tin,24.9,Liên kết quốc tế,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03306615,105.8082359,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Thương mại,MA0481,Quản trị kinh doanh,22,Chính quy,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.02711705,105.8003949,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Điện lực,MA0482,Kỹ thuật điện tử,22.1,Chất lượng cao,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03561644,105.7983202,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Kinh tế Quốc dân,MA0483,Kinh tế quốc tế,22.2,Liên kết quốc tế,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.03766656,105.8009049,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Công nghiệp Hà Nội,MA0484,Công nghệ vật liệu,22.3,Chính quy,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.03344457,105.7965265,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Tài chính,MA0485,Tài chính - Ngân hàng,22.4,Chất lượng cao,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.02950894,105.8084018,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Giao thông Vận tải,MA0486,Kỹ thuật ô tô,22.5,Liên kết quốc tế,"3 Cầu Giấy, Hà Nội",21.0364474,105.8025198,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Y tế Công cộng,MA0487,Y tế công cộng,22.6,Chính quy,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.02524723,105.8106574,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Học viện Ngân hàng,MA0488,Tài chính ngân hàng,22.7,Chất lượng cao,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03579159,105.8050744,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Ngoại giao,MA0489,Quan hệ quốc tế,22.8,Liên kết quốc tế,"69 Chùa Láng, Đống Đa, Hà Nội",21.02348762,105.8044106,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Mở Hà Nội,MA0490,Quản trị nhân lực,22.9,Chính quy,"96 Định Công, Hoàng Mai, Hà Nội",21.04096521,105.7949822,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Mỹ thuật Công nghiệp,MA0491,Thiết kế thời trang,23,Chất lượng cao,"360 Đê La Thành, Đống Đa, Hà Nội",21.02552626,105.8106544,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Văn hóa Hà Nội,MA0492,Quản lý văn hóa,23.1,Liên kết quốc tế,"418 Đê La Thành, Đống Đa, Hà Nội",21.02915886,105.8032574,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Học viện Phụ nữ Việt Nam,MA0493,Công tác xã hội,23.2,Chính quy,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03855954,105.8131214,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Học viện Hành chính Quốc gia,MA0494,Quản lý nhà nước,23.3,Chất lượng cao,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.04087455,105.8127521,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Âm nhạc Quốc gia Việt Nam,MA0495,Âm nhạc học,23.4,Liên kết quốc tế,"77 Hào Nam, Đống Đa, Hà Nội",21.03269382,105.7977852,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Luật Hà Nội,MA0496,Luật,23.5,Chính quy,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03933079,105.7952035,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Phòng cháy chữa cháy,MA0497,Kỹ thuật phòng cháy,23.6,Chất lượng cao,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.03820897,105.8110291,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Khoa học Xã hội và Nhân văn,MA0498,Xã hội học,23.7,Liên kết quốc tế,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.02454098,105.7957397,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0499,Ngôn ngữ Anh,23.8,Chính quy,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03004259,105.8038241,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Sân khấu - Điện ảnh,MA0500,Đạo diễn điện ảnh,23.9,Chất lượng cao,"Mai Dịch, Cầu Giấy, Hà Nội",21.03069876,105.7975185,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Quốc gia Hà Nội,MA0501,Công nghệ thông tin,24,Liên kết quốc tế,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.04119444,105.8075656,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Sư phạm Hà Nội,MA0502,Kỹ thuật điện,24.1,Chính quy,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.0264617,105.8079853,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Công nghệ - ĐHQG Hà Nội,MA0503,Khoa học máy tính,24.2,Chất lượng cao,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.04242074,105.812702,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Kỹ thuật Quân sự,MA0504,Kỹ thuật hàng không,24.3,Liên kết quốc tế,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03833769,105.8096745,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Học viện Công nghệ BCVT,MA0505,An toàn thông tin,24.4,Chính quy,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.02442309,105.8097111,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Thương mại,MA0506,Quản trị kinh doanh,24.5,Chất lượng cao,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.02963526,105.8110766,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Điện lực,MA0507,Kỹ thuật điện tử,24.6,Liên kết quốc tế,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.02992573,105.8003317,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Kinh tế Quốc dân,MA0508,Kinh tế quốc tế,24.7,Chính quy,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.03031968,105.8031932,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Công nghiệp Hà Nội,MA0509,Công nghệ vật liệu,24.8,Chất lượng cao,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.02938683,105.8024573,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Tài chính,MA0510,Tài chính - Ngân hàng,24.9,Liên kết quốc tế,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.03262374,105.7972631,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Giao thông Vận tải,MA0511,Kỹ thuật ô tô,22,Chính quy,"3 Cầu Giấy, Hà Nội",21.03670754,105.8062706,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Y tế Công cộng,MA0512,Y tế công cộng,22.1,Chất lượng cao,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.03022279,105.7999454,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Ngân hàng,MA0513,Tài chính ngân hàng,22.2,Liên kết quốc tế,"12 Chùa Bộc, Đống Đa, Hà Nội",21.0323149,105.8026037,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Học viện Ngoại giao,MA0514,Quan hệ quốc tế,22.3,Chính quy,"69 Chùa Láng, Đống Đa, Hà Nội",21.04229151,105.8101719,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Mở Hà Nội,MA0515,Quản trị nhân lực,22.4,Chất lượng cao,"96 Định Công, Hoàng Mai, Hà Nội",21.03074607,105.8116261,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Mỹ thuật Công nghiệp,MA0516,Thiết kế thời trang,22.5,Liên kết quốc tế,"360 Đê La Thành, Đống Đa, Hà Nội",21.04096793,105.7996071,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Văn hóa Hà Nội,MA0517,Quản lý văn hóa,22.6,Chính quy,"418 Đê La Thành, Đống Đa, Hà Nội",21.02743673,105.8072593,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Học viện Phụ nữ Việt Nam,MA0518,Công tác xã hội,22.7,Chất lượng cao,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03407479,105.7967177,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Hành chính Quốc gia,MA0519,Quản lý nhà nước,22.8,Liên kết quốc tế,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.026311,105.8084866,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Âm nhạc Quốc gia Việt Nam,MA0520,Âm nhạc học,22.9,Chính quy,"77 Hào Nam, Đống Đa, Hà Nội",21.03039118,105.8116332,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Luật Hà Nội,MA0521,Luật,23,Chất lượng cao,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.02892372,105.8097227,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Phòng cháy chữa cháy,MA0522,Kỹ thuật phòng cháy,23.1,Liên kết quốc tế,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.03695846,105.7992449,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Khoa học Xã hội và Nhân văn,MA0523,Xã hội học,23.2,Chính quy,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.03673523,105.8051831,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0524,Ngôn ngữ Anh,23.3,Chất lượng cao,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03728507,105.8013663,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Sân khấu - Điện ảnh,MA0525,Đạo diễn điện ảnh,23.4,Liên kết quốc tế,"Mai Dịch, Cầu Giấy, Hà Nội",21.02719863,105.8004229,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Quốc gia Hà Nội,MA0526,Công nghệ thông tin,23.5,Chính quy,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03342449,105.7995969,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Sư phạm Hà Nội,MA0527,Kỹ thuật điện,23.6,Chất lượng cao,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03847841,105.8058086,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Công nghệ - ĐHQG Hà Nội,MA0528,Khoa học máy tính,23.7,Liên kết quốc tế,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.0279867,105.8026576,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Học viện Kỹ thuật Quân sự,MA0529,Kỹ thuật hàng không,23.8,Chính quy,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.04077372,105.8127241,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Học viện Công nghệ BCVT,MA0530,An toàn thông tin,23.9,Chất lượng cao,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.02986528,105.8011128,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Thương mại,MA0531,Quản trị kinh doanh,24,Liên kết quốc tế,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.0337247,105.8110745,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Điện lực,MA0532,Kỹ thuật điện tử,24.1,Chính quy,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.02629402,105.7963574,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Kinh tế Quốc dân,MA0533,Kinh tế quốc tế,24.2,Chất lượng cao,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.02511397,105.8103071,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Công nghiệp Hà Nội,MA0534,Công nghệ vật liệu,24.3,Liên kết quốc tế,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.04013351,105.7940515,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Học viện Tài chính,MA0535,Tài chính - Ngân hàng,24.4,Chính quy,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.04266084,105.8117392,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Giao thông Vận tải,MA0536,Kỹ thuật ô tô,24.5,Chất lượng cao,"3 Cầu Giấy, Hà Nội",21.02839572,105.8016458,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Y tế Công cộng,MA0537,Y tế công cộng,24.6,Liên kết quốc tế,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.03832673,105.7970324,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Học viện Ngân hàng,MA0538,Tài chính ngân hàng,24.7,Chính quy,"12 Chùa Bộc, Đống Đa, Hà Nội",21.04075106,105.811222,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Học viện Ngoại giao,MA0539,Quan hệ quốc tế,24.8,Chất lượng cao,"69 Chùa Láng, Đống Đa, Hà Nội",21.03362917,105.8129078,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Mở Hà Nội,MA0540,Quản trị nhân lực,24.9,Liên kết quốc tế,"96 Định Công, Hoàng Mai, Hà Nội",21.03415112,105.8095201,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Mỹ thuật Công nghiệp,MA0541,Thiết kế thời trang,22,Chính quy,"360 Đê La Thành, Đống Đa, Hà Nội",21.03970317,105.8107818,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Văn hóa Hà Nội,MA0542,Quản lý văn hóa,22.1,Chất lượng cao,"418 Đê La Thành, Đống Đa, Hà Nội",21.04110828,105.8066866,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Phụ nữ Việt Nam,MA0543,Công tác xã hội,22.2,Liên kết quốc tế,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.0384551,105.8126486,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Hành chính Quốc gia,MA0544,Quản lý nhà nước,22.3,Chính quy,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.02330239,105.7938862,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Âm nhạc Quốc gia Việt Nam,MA0545,Âm nhạc học,22.4,Chất lượng cao,"77 Hào Nam, Đống Đa, Hà Nội",21.03476204,105.7999271,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Luật Hà Nội,MA0546,Luật,22.5,Liên kết quốc tế,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03040023,105.8061556,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Phòng cháy chữa cháy,MA0547,Kỹ thuật phòng cháy,22.6,Chính quy,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.02607711,105.8095554,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Khoa học Xã hội và Nhân văn,MA0548,Xã hội học,22.7,Chất lượng cao,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.02487213,105.8075715,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0549,Ngôn ngữ Anh,22.8,Liên kết quốc tế,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.02783476,105.8050003,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Sân khấu - Điện ảnh,MA0550,Đạo diễn điện ảnh,22.9,Chính quy,"Mai Dịch, Cầu Giấy, Hà Nội",21.03082413,105.802236,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Quốc gia Hà Nội,MA0551,Công nghệ thông tin,23,Chất lượng cao,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03231363,105.8052444,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Sư phạm Hà Nội,MA0552,Kỹ thuật điện,23.1,Liên kết quốc tế,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03258989,105.802197,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Công nghệ - ĐHQG Hà Nội,MA0553,Khoa học máy tính,23.2,Chính quy,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03469328,105.8042066,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Học viện Kỹ thuật Quân sự,MA0554,Kỹ thuật hàng không,23.3,Chất lượng cao,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03816883,105.8081058,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Công nghệ BCVT,MA0555,An toàn thông tin,23.4,Liên kết quốc tế,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.02345591,105.8087578,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Thương mại,MA0556,Quản trị kinh doanh,23.5,Chính quy,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.02399087,105.7975816,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Điện lực,MA0557,Kỹ thuật điện tử,23.6,Chất lượng cao,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03350343,105.8078335,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Kinh tế Quốc dân,MA0558,Kinh tế quốc tế,23.7,Liên kết quốc tế,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.02896319,105.8105143,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Công nghiệp Hà Nội,MA0559,Công nghệ vật liệu,23.8,Chính quy,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.03831821,105.7958517,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Học viện Tài chính,MA0560,Tài chính - Ngân hàng,23.9,Chất lượng cao,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.03719158,105.801953,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Giao thông Vận tải,MA0561,Kỹ thuật ô tô,24,Liên kết quốc tế,"3 Cầu Giấy, Hà Nội",21.04230771,105.8103793,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Y tế Công cộng,MA0562,Y tế công cộng,24.1,Chính quy,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.04252082,105.8012647,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Học viện Ngân hàng,MA0563,Tài chính ngân hàng,24.2,Chất lượng cao,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03991507,105.8043754,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Ngoại giao,MA0564,Quan hệ quốc tế,24.3,Liên kết quốc tế,"69 Chùa Láng, Đống Đa, Hà Nội",21.03246928,105.8114822,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Mở Hà Nội,MA0565,Quản trị nhân lực,24.4,Chính quy,"96 Định Công, Hoàng Mai, Hà Nội",21.03684052,105.8028447,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Mỹ thuật Công nghiệp,MA0566,Thiết kế thời trang,24.5,Chất lượng cao,"360 Đê La Thành, Đống Đa, Hà Nội",21.0296981,105.8021234,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Văn hóa Hà Nội,MA0567,Quản lý văn hóa,24.6,Liên kết quốc tế,"418 Đê La Thành, Đống Đa, Hà Nội",21.03695633,105.8128823,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Phụ nữ Việt Nam,MA0568,Công tác xã hội,24.7,Chính quy,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.02823762,105.8110693,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Hành chính Quốc gia,MA0569,Quản lý nhà nước,24.8,Chất lượng cao,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.04148681,105.8094661,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Âm nhạc Quốc gia Việt Nam,MA0570,Âm nhạc học,24.9,Liên kết quốc tế,"77 Hào Nam, Đống Đa, Hà Nội",21.03074777,105.7979519,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Luật Hà Nội,MA0571,Luật,22,Chính quy,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03339427,105.795026,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Phòng cháy chữa cháy,MA0572,Kỹ thuật phòng cháy,22.1,Chất lượng cao,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.03131903,105.7981914,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Khoa học Xã hội và Nhân văn,MA0573,Xã hội học,22.2,Liên kết quốc tế,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.03895844,105.7969445,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0574,Ngôn ngữ Anh,22.3,Chính quy,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03097146,105.8087409,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Sân khấu - Điện ảnh,MA0575,Đạo diễn điện ảnh,22.4,Chất lượng cao,"Mai Dịch, Cầu Giấy, Hà Nội",21.0315397,105.7993848,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Quốc gia Hà Nội,MA0576,Công nghệ thông tin,22.5,Liên kết quốc tế,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03654149,105.813336,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Sư phạm Hà Nội,MA0577,Kỹ thuật điện,22.6,Chính quy,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03655086,105.8058539,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Công nghệ - ĐHQG Hà Nội,MA0578,Khoa học máy tính,22.7,Chất lượng cao,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03634312,105.79521,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Kỹ thuật Quân sự,MA0579,Kỹ thuật hàng không,22.8,Liên kết quốc tế,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03682337,105.797421,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
